goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/aggregation
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkChannel_DropNewest_Concurrent-8   	 1689006	       719.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1574497	       801.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1677811	       716.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1599822	       801.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1664931	       834.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1674228	       772.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1592283	       784.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1440682	       746.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1621334	       638.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1862458	       625.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1632285	       907.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1769385	       756.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1581882	       745.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1798664	       638.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1820757	       658.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1703808	       713.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1709458	       701.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Push-8         	 1808690	       824.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1293487	       925.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1370218	       862.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1000000	      1006 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1000000	      1015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	  990564	      1014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	  975172	      1034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1256774	      1022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1000000	      1031 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1000000	      1039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_Disconnect_Concurrent-8   	 1000000	      1065 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1762363	       899.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1626788	       767.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1588779	       741.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1557537	       753.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1604466	       695.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1772690	       766.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1558671	       795.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1589876	       793.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1000000	      1031 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropOldest-8     	 1670212	       670.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1347276	       810.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1424547	       922.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1336863	       951.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1232578	       942.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1438384	       860.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1403592	       901.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1250982	       903.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1303670	       945.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1290850	      1198 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_EndToEnd_DropNewest-8     	 1000000	      1009 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/sumit/rtmds/internal/backpressure	269.444s
goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/clientqueue
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkQueue_DropOldest_Send-8         	 2003684	       527.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2069845	       584.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 1993366	       518.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2559154	       596.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2197288	       501.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2096217	       554.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2387797	       552.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2109650	       544.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2013207	       544.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropOldest_Send-8         	 2122525	       695.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1933221	       706.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1716690	       741.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1829198	       576.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1787161	       791.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1000000	      1019 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1630778	       875.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1714981	       617.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1853523	       598.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1897680	       594.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_DropNewest_Send-8         	 1843441	       608.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1836499	       821.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1617824	       673.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1590010	       757.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1674654	       811.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1495422	       773.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1425496	       711.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1431853	       727.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1380106	       972.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1700437	       741.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Disconnect_Send-8         	 1503478	       764.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1322480	       859.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1446688	       844.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1275217	       921.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1329991	       838.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1535691	       772.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1440273	       804.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1314055	       891.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1385391	       900.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1398561	       883.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropOldest-8     	 1398484	       837.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1189638	      1064 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	  949224	      1117 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1000000	      1309 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1212777	      1070 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1209008	       964.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1000000	      1030 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1202156	      1002 ns/op	       0 B/op	       0 allocs/op
